_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
53.327657,30.788754,VizieR,53.327657,30.788754,03331863+3047195,14.876,0.036,14.128,0.044,13.993,0.045,AAA,222,111,000,0,0
53.300283,30.781574,VizieR,53.300283,30.781574,03331206+3046536,13.581,0.025,13.059,0.025,12.855,0.025,AAA,222,111,000,0,0
53.309882,30.807507,VizieR,53.309882,30.807507,03331437+3048270,16.559,0.142,15.546,0.126,15.396,0.15,BBB,222,111,000,0,0
53.289693,30.798904,VizieR,53.289693,30.798904,03330952+3047560,16.717,0.168,15.672,0.152,15.483,0.18,CBC,222,111,000,0,0
53.317054,30.797333,VizieR,53.317054,30.797333,03331609+3047503,14.969,0.045,14.04,0.042,13.802,0.038,AAA,222,111,000,0,0
53.312456,30.813669,VizieR,53.312456,30.813669,03331498+3048492,13.638,0.026,13.147,0.025,12.967,0.027,AAA,222,111,000,0,0
53.214701,30.738388,VizieR,53.214701,30.738388,03325152+3044181,15.9,0.077,15.088,0.084,14.588,0.079,AAA,222,111,000,0,0
53.20989,30.744795,VizieR,53.20989,30.744795,03325037+3044412,16.255,0.105,15.588,0.129,15.182,0.111,ABB,222,111,000,0,0
53.21309,30.759548,VizieR,53.21309,30.759548,03325114+3045343,16.801,0.171,15.592,0.125,15.347,0.137,CBB,222,111,000,0,0
53.235622,30.775772,VizieR,53.235622,30.775772,03325654+3046327,15.289,0.054,14.322,0.047,13.984,0.042,AAA,222,111,000,0,0
53.242291,30.760176,VizieR,53.242291,30.760176,03325814+3045366,12.871,0.023,12.333,0.023,12.173,0.02,AAA,222,111,000,0,0
53.243401,30.786381,VizieR,53.243401,30.786381,03325841+3047109,15.926,0.085,15.196,0.1,14.999,0.104,AAA,222,111,000,0,0
53.203968,30.780981,VizieR,53.203968,30.780981,03324895+3046515,17.078,0.217,16.348,0.235,15.884,0.205,DDD,222,111,000,0,0
53.195637,30.757738,VizieR,53.195637,30.757738,03324695+3045278,15.838,0.082,15.298,0.115,15.022,0.107,ABA,222,111,000,0,0
53.187585,30.78005,VizieR,53.187585,30.78005,03324502+3046481,15.101,0.042,14.513,0.054,14.475,0.064,AAA,222,111,000,0,0
53.193077,30.779045,VizieR,53.193077,30.779045,03324633+3046445,16.572,0.135,15.708,0.145,15.573,0.163,BBC,222,111,000,0,0
53.216396,30.790245,VizieR,53.216396,30.790245,03325193+3047248,15.979,0.079,15.603,0.13,15.289,0.126,ABB,222,111,000,0,0
53.206538,30.796556,VizieR,53.206538,30.796556,03324956+3047476,16.391,0.118,15.804,,16.046,0.239,BUD,202,101,000,0,0
53.201588,30.7978,VizieR,53.201588,30.7978,03324838+3047520,16.942,,16.002,0.185,15.432,0.161,UCC,22,11,000,0,0
53.222901,30.801832,VizieR,53.222901,30.801832,03325349+3048065,16.055,0.094,15.467,0.112,15.161,0.115,ABB,222,222,ccc,0,0
53.222632,30.800926,VizieR,53.222632,30.800926,03325343+3048033,15.933,0.104,15.278,0.107,15.173,0.137,AAB,222,222,ccc,0,0
53.248049,30.79253,VizieR,53.248049,30.79253,03325953+3047331,15.037,0.041,14.564,0.058,14.365,0.06,AAA,222,111,000,0,0
53.266254,30.792717,VizieR,53.266254,30.792717,03330390+3047337,16.347,,15.749,0.147,15.712,0.19,UBC,22,11,000,0,0
53.261934,30.792801,VizieR,53.261934,30.792801,03330286+3047340,16.39,0.131,15.627,0.133,15.609,0.173,BBC,222,111,000,0,0
53.256034,30.802029,VizieR,53.256034,30.802029,03330144+3048073,15.568,0.064,15.083,0.091,14.852,0.09,AAA,222,111,000,0,0
53.280189,30.806791,VizieR,53.280189,30.806791,03330724+3048244,14.514,0.032,13.852,0.036,13.689,0.035,AAA,222,111,000,0,0
53.286483,30.809978,VizieR,53.286483,30.809978,03330875+3048359,14.267,0.03,13.769,0.034,13.582,0.033,AAA,222,111,000,0,0
