_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
52.49648404,30.68037403,VizieR,52.496484,30.680374,0.61,0.643,20180027,3,43,,,,,,,,,,,,
52.4465301,30.71048295,VizieR,52.44653,30.710483,0.746,0.872,20121442,6,59,1.152,0.168,15.06,0.055,16.212,0.159,15.64,0.069,14.622,0.048,14.061,0.028
52.44656801,30.71047401,VizieR,52.446568,30.710474,0.681,0.799,20180080,2,47,,,,,,,,,,,,
52.54773307,30.72196901,VizieR,52.547733,30.721969,0.81,0.837,20121442,4,11,,,,,,,17.046,0.057,15.53,0.054,14.696,0.046
52.58682895,30.73625004,VizieR,52.586829,30.73625,0.846,1.0,20121442,6,32,1.286,0.0,15.899,0.0,17.186,0.0,16.623,0.058,15.24,0.025,14.434,0.055
52.61290097,30.78218102,VizieR,52.612901,30.782181,0.218,0.222,20180020,7,110,0.799,0.074,11.341,0.023,12.14,0.07,11.723,0.07,11.069,0.06,10.887,0.048
52.51372504,30.804093,VizieR,52.513725,30.804093,0.408,0.339,20180020,7,90,1.081,0.076,13.99,0.036,15.071,0.067,14.532,0.076,13.58,0.017,13.064,0.055
52.55566692,30.83808899,VizieR,52.555667,30.838089,0.747,0.787,20121442,3,6,,,,,,,17.695,0.037,15.702,0.026,14.623,0.064
52.22611189,30.62790704,VizieR,52.226112,30.627907,0.122,0.095,20180020,7,110,0.488,0.085,10.486,0.05,10.974,0.069,10.731,0.063,10.361,0.056,10.225,0.055
52.33930302,30.666237,VizieR,52.339303,30.666237,0.573,0.477,20121442,6,48,,,,,,,16.164,0.077,14.476,0.028,13.521,0.05
52.34097195,30.69143903,VizieR,52.340972,30.691439,1.16,1.227,20121442,3,6,,,16.214,0.0,,,17.096,0.0,,,,
52.34103894,30.69174099,VizieR,52.341039,30.691741,0.968,1.088,20121442,5,12,,,,,17.667,0.0,16.872,0.085,15.57,0.053,14.809,0.093
52.10003901,30.63810003,VizieR,52.100039,30.6381,0.703,0.883,20151441,4,11,,,,,,,16.869,0.052,15.483,0.026,14.648,0.049
52.10023308,30.63817799,VizieR,52.100233,30.638178,1.315,1.172,20180087,2,5,,,,,,,,,,,,
52.19703197,30.68766701,VizieR,52.197032,30.687667,0.179,0.167,20180020,7,111,0.886,0.087,12.131,0.026,13.016,0.083,12.559,0.078,11.844,0.035,11.606,0.059
52.07745099,30.68835902,VizieR,52.077451,30.688359,0.713,0.811,20121442,6,56,1.549,0.218,15.398,0.068,16.947,0.207,16.174,0.039,14.834,0.037,14.164,0.045
52.09789205,30.67836595,VizieR,52.097892,30.678366,0.588,0.771,20151441,5,15,,,,,,,16.979,0.047,15.152,0.059,14.156,0.175
52.14537406,30.72349095,VizieR,52.145374,30.723491,0.635,0.489,20121442,6,67,1.686,0.122,15.157,0.052,16.842,0.11,16.032,0.057,14.458,0.022,13.663,0.057
52.14545107,30.72348201,VizieR,52.145451,30.723482,0.781,0.625,20180080,2,31,,,,,,,,,,,,
52.08846307,30.72858799,VizieR,52.088463,30.728588,1.119,0.796,20121442,6,25,,,,,,,16.898,0.055,15.538,0.032,14.582,0.073
52.08861899,30.72836196,VizieR,52.088619,30.728362,1.328,1.275,20180086,2,14,,,,,,,,,,,,
52.21734095,30.75140703,VizieR,52.217341,30.751407,0.218,0.203,20180020,7,102,1.454,0.225,13.321,0.157,14.775,0.161,14.093,0.178,12.7,0.143,12.004,0.126
52.27432203,30.79447806,VizieR,52.274322,30.794478,0.578,0.731,20121442,6,53,1.398,0.161,15.214,0.035,16.612,0.158,15.951,0.06,14.649,0.032,14.021,0.053
52.23608303,30.795066,VizieR,52.236083,30.795066,0.386,0.318,20180020,7,100,1.246,0.094,13.724,0.026,14.97,0.09,14.376,0.069,13.217,0.019,12.593,0.064
52.142766,30.76293302,VizieR,52.142766,30.762933,0.184,0.12,20180020,7,125,0.543,0.091,10.205,0.052,10.748,0.075,10.459,0.063,10.078,0.053,9.955,0.051
52.24207997,30.81808901,VizieR,52.24208,30.818089,0.816,0.716,20121442,6,32,,,,,,,16.639,0.063,14.988,0.05,14.143,0.084
52.36749506,30.73716104,VizieR,52.367495,30.737161,0.747,0.699,20121442,6,51,1.42,0.132,15.411,0.038,16.831,0.126,16.144,0.059,14.828,0.023,14.119,0.112
52.37105799,30.77518594,VizieR,52.371058,30.775186,0.489,0.868,20121442,2,4,,,,,,,16.987,0.008,15.906,0.069,,
52.3528049,30.80260801,VizieR,52.352805,30.802608,0.803,0.773,20121442,6,37,1.554,0.132,15.564,0.016,17.118,0.131,16.349,0.061,14.943,0.041,14.174,0.081
52.37986898,30.80037796,VizieR,52.379869,30.800378,0.952,0.557,20151441,3,11,,,,,,,16.839,0.044,15.48,0.014,14.784,0.066
52.49213791,30.88256598,VizieR,52.492138,30.882566,0.803,0.729,20121442,6,33,1.488,0.0,15.904,0.0,17.392,0.0,16.573,0.061,15.198,0.073,14.482,0.033
52.492239,30.88253999,VizieR,52.492239,30.88254,0.999,1.351,20180087,2,9,,,,,,,,,,,,
52.46637893,30.89541399,VizieR,52.466379,30.895414,1.073,0.484,20121442,3,3,,,,,,,,,,,15.162,0.112
52.4706769,30.88524997,VizieR,52.470677,30.88525,0.905,1.05,20151441,5,18,1.451,0.0,16.042,0.0,17.494,0.0,16.854,0.096,15.415,0.011,14.725,0.138
52.47091198,30.88545406,VizieR,52.470912,30.885454,1.238,1.372,20180087,2,4,,,,,,,,,,,,
52.34957409,30.87061095,VizieR,52.349574,30.870611,0.679,0.567,20121442,6,75,1.076,0.079,14.944,0.03,16.02,0.073,15.484,0.062,14.555,0.062,14.074,0.041
52.30816197,30.89275801,VizieR,52.308162,30.892758,0.935,0.857,20121442,5,15,,,,,,,17.041,0.09,15.812,0.039,15.071,0.091
52.28429794,30.91556299,VizieR,52.284298,30.915563,0.745,0.777,20121442,6,54,1.26,0.109,15.538,0.076,16.798,0.078,16.165,0.038,14.963,0.053,14.342,0.104
52.37613201,30.92388403,VizieR,52.376132,30.923884,0.705,0.53,20180024,7,75,1.221,0.136,14.672,0.051,15.894,0.126,15.253,0.068,14.199,0.048,13.596,0.081
52.44285488,30.94514501,VizieR,52.442855,30.945145,1.099,0.865,20121442,3,5,1.696,0.0,16.058,0.0,17.754,0.0,,,,,,
